epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7394,5.14514,8.88794,2.83931,0.01031,0.03175,0.0214,0.01321,4.26477,7.99839,2.17491,6.668e-05,6.668e-05,6.668e-05
2,62.0266,4.16032,8.17978,2.23686,0.03534,0.09674,0.04171,0.03224,3.18281,7.80107,1.87696,0.000135177,0.000135177,0.000135177
3,90.703,3.28534,7.26018,1.94397,0.02328,0.21871,0.08059,0.03567,3.07844,7.58185,1.81264,0.000187171,0.000187171,0.000187171
4,120.02,3.19019,6.23206,1.84936,0.01959,0.24069,0.09667,0.0346,3.06982,7.52429,1.81681,0.000222661,0.000222661,0.000222661
5,149.131,3.23737,5.61199,1.85324,0.01283,0.20718,0.10148,0.0375,2.82725,7.38353,1.79018,0.000241648,0.000241648,0.000241648
6,179.345,3.2218,4.93285,1.85723,0.01422,0.2152,0.08569,0.03099,3.12421,7.38863,1.87913,0.000244132,0.000244132,0.000244132
7,216.075,3.0645,4.45877,1.81593,0.0149,0.22231,0.10253,0.04288,2.98029,7.05113,1.80225,0.000230113,0.000230113,0.000230113
8,248.903,3.07931,3.92995,1.82769,0.01634,0.25213,0.12897,0.0638,2.97323,6.90614,1.78273,0.00019959,0.00019959,0.00019959
9,280.925,2.95482,3.64807,1.81209,0.02192,0.36182,0.24863,0.12868,2.90089,6.73801,1.76636,0.000152564,0.000152564,0.000152564
10,311.565,2.91749,4.27164,1.8555,0.02507,0.41972,0.29995,0.17057,2.84541,6.62659,1.75933,8.90345e-05,8.90345e-05,8.90345e-05
